subject,predicate,object,category
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/George_Brecht,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Glenn_D._Lowry,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Mona_Lisa,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Museum_Ludwig,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Museum_of_Fine_Arts_(Budapest),sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Museum_of_Modern_Art,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Nam_June_Paik,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Conceptual_art,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Andrássy_út,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Lund,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Staatliches_Museum_Schwerin,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/ZKM_Center_for_Art_and_Media_Karlsruhe,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Zagreb,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Łódź,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Fridericianum,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Mail_art,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Tate,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Barcelona_Museum_of_Contemporary_Art,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Category:1937_births,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/British_Museum,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/COVID-19_pandemic,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Galeria_Akumulatory_2,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Galerie_St._Petri,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Galleri_Sudurgata_7,sculptor
http://dbpedia.org/resource/John_Armleder,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Allan_Kaprow,sculptor
